game_id,round_id,timestamp,num_alive,num_killed
458a598f-6e2a-4d72-a64d-f9936a28f1cc,7,,6,3
00622173-7998-490b-926b-fc969937547f,7,,6,3
8d118a06-c817-4dfe-ab02-076744d75e58,7,,6,3
753afee7-2989-4bff-a7af-1351ead9181f,7,,6,3
4dfa22b8-f21c-40c0-bfe4-cdc516413dc0,7,,6,3
bb29874a-2070-48a6-a25e-7d3f4380589f,7,,6,3
5c4615c5-7732-45e6-b33c-45c87ae144ff,8,,6,3
1a87a7c4-feea-4e2b-b308-8a2ec236535a,8,,6,3
458a598f-6e2a-4d72-a64d-f9936a28f1cc,8,,6,3
00622173-7998-490b-926b-fc969937547f,8,,6,3
8d118a06-c817-4dfe-ab02-076744d75e58,8,,6,3
753afee7-2989-4bff-a7af-1351ead9181f,8,,6,3
4dfa22b8-f21c-40c0-bfe4-cdc516413dc0,8,,6,3
bb29874a-2070-48a6-a25e-7d3f4380589f,8,,6,3
5c4615c5-7732-45e6-b33c-45c87ae144ff,9,,6,3
1a87a7c4-feea-4e2b-b308-8a2ec236535a,9,,6,3
458a598f-6e2a-4d72-a64d-f9936a28f1cc,9,,6,3
00622173-7998-490b-926b-fc969937547f,9,,6,3
8d118a06-c817-4dfe-ab02-076744d75e58,9,,6,3
753afee7-2989-4bff-a7af-1351ead9181f,9,,6,3
4dfa22b8-f21c-40c0-bfe4-cdc516413dc0,9,,6,3
bb29874a-2070-48a6-a25e-7d3f4380589f,9,,6,3
5c4615c5-7732-45e6-b33c-45c87ae144ff,10,,6,3
1a87a7c4-feea-4e2b-b308-8a2ec236535a,10,,6,3
458a598f-6e2a-4d72-a64d-f9936a28f1cc,10,,6,3
00622173-7998-490b-926b-fc969937547f,10,,6,3
8d118a06-c817-4dfe-ab02-076744d75e58,10,,6,3
753afee7-2989-4bff-a7af-1351ead9181f,10,,6,3
4dfa22b8-f21c-40c0-bfe4-cdc516413dc0,10,,6,3
bb29874a-2070-48a6-a25e-7d3f4380589f,10,,6,3
eb8a2ac1-fc68-47e5-8e7e-b61631766a16,0,,8,0
a5669dac-aeec-45fd-a44b-37d1e680053b,0,,8,0
afd28e74-9518-4e43-a9e4-8e0060ed0fd2,0,,8,0
00bf24cb-966e-48ef-a6d1-8fd22e718052,0,,8,0
f0155743-1cc9-43b5-aed6-424b1c5ad2fd,0,,8,0
6e1a4d27-99a8-4981-8c44-b04e3ba9b66f,0,,8,0
44351127-0db0-4e59-9bad-3c00ce1395f3,0,,8,0
05f4445a-79ad-4463-83ca-a1a488940875,0,,8,0
eb8a2ac1-fc68-47e5-8e7e-b61631766a16,1,,8,1
a5669dac-aeec-45fd-a44b-37d1e680053b,1,,8,1
afd28e74-9518-4e43-a9e4-8e0060ed0fd2,1,,8,1
00bf24cb-966e-48ef-a6d1-8fd22e718052,1,,8,1
f0155743-1cc9-43b5-aed6-424b1c5ad2fd,1,,8,1
6e1a4d27-99a8-4981-8c44-b04e3ba9b66f,1,,8,1
44351127-0db0-4e59-9bad-3c00ce1395f3,1,,8,1
05f4445a-79ad-4463-83ca-a1a488940875,1,,8,1
eb8a2ac1-fc68-47e5-8e7e-b61631766a16,2,,8,1
a5669dac-aeec-45fd-a44b-37d1e680053b,2,,8,1
afd28e74-9518-4e43-a9e4-8e0060ed0fd2,2,,8,1
00bf24cb-966e-48ef-a6d1-8fd22e718052,2,,8,1
f0155743-1cc9-43b5-aed6-424b1c5ad2fd,2,,8,1
6e1a4d27-99a8-4981-8c44-b04e3ba9b66f,2,,8,1
44351127-0db0-4e59-9bad-3c00ce1395f3,2,,8,1
05f4445a-79ad-4463-83ca-a1a488940875,2,,8,1
eb8a2ac1-fc68-47e5-8e7e-b61631766a16,3,,7,2
a5669dac-aeec-45fd-a44b-37d1e680053b,3,,7,2
afd28e74-9518-4e43-a9e4-8e0060ed0fd2,3,,7,2
00bf24cb-966e-48ef-a6d1-8fd22e718052,3,,7,2
f0155743-1cc9-43b5-aed6-424b1c5ad2fd,3,,7,2
6e1a4d27-99a8-4981-8c44-b04e3ba9b66f,3,,7,2
44351127-0db0-4e59-9bad-3c00ce1395f3,3,,7,2
05f4445a-79ad-4463-83ca-a1a488940875,3,,7,2
eb8a2ac1-fc68-47e5-8e7e-b61631766a16,4,,6,3
a5669dac-aeec-45fd-a44b-37d1e680053b,4,,6,3
afd28e74-9518-4e43-a9e4-8e0060ed0fd2,4,,6,3
00bf24cb-966e-48ef-a6d1-8fd22e718052,4,,6,3
f0155743-1cc9-43b5-aed6-424b1c5ad2fd,4,,6,3
6e1a4d27-99a8-4981-8c44-b04e3ba9b66f,4,,6,3
44351127-0db0-4e59-9bad-3c00ce1395f3,4,,6,3
05f4445a-79ad-4463-83ca-a1a488940875,4,,6,3
eb8a2ac1-fc68-47e5-8e7e-b61631766a16,5,,6,3
a5669dac-aeec-45fd-a44b-37d1e680053b,5,,6,3
afd28e74-9518-4e43-a9e4-8e0060ed0fd2,5,,6,3
00bf24cb-966e-48ef-a6d1-8fd22e718052,5,,6,3
f0155743-1cc9-43b5-aed6-424b1c5ad2fd,5,,6,3
6e1a4d27-99a8-4981-8c44-b04e3ba9b66f,5,,6,3
44351127-0db0-4e59-9bad-3c00ce1395f3,5,,6,3
05f4445a-79ad-4463-83ca-a1a488940875,5,,6,3
eb8a2ac1-fc68-47e5-8e7e-b61631766a16,6,,6,3
a5669dac-aeec-45fd-a44b-37d1e680053b,6,,6,3
afd28e74-9518-4e43-a9e4-8e0060ed0fd2,6,,6,3
00bf24cb-966e-48ef-a6d1-8fd22e718052,6,,6,3
f0155743-1cc9-43b5-aed6-424b1c5ad2fd,6,,6,3
6e1a4d27-99a8-4981-8c44-b04e3ba9b66f,6,,6,3
44351127-0db0-4e59-9bad-3c00ce1395f3,6,,6,3
05f4445a-79ad-4463-83ca-a1a488940875,6,,6,3
eb8a2ac1-fc68-47e5-8e7e-b61631766a16,7,,6,3
a5669dac-aeec-45fd-a44b-37d1e680053b,7,,6,3
afd28e74-9518-4e43-a9e4-8e0060ed0fd2,7,,6,3
00bf24cb-966e-48ef-a6d1-8fd22e718052,7,,6,3
f0155743-1cc9-43b5-aed6-424b1c5ad2fd,7,,6,3
6e1a4d27-99a8-4981-8c44-b04e3ba9b66f,7,,6,3
44351127-0db0-4e59-9bad-3c00ce1395f3,7,,6,3
05f4445a-79ad-4463-83ca-a1a488940875,7,,6,3
eb8a2ac1-fc68-47e5-8e7e-b61631766a16,8,,6,3
a5669dac-aeec-45fd-a44b-37d1e680053b,8,,6,3
afd28e74-9518-4e43-a9e4-8e0060ed0fd2,8,,6,3
00bf24cb-966e-48ef-a6d1-8fd22e718052,8,,6,3
f0155743-1cc9-43b5-aed6-424b1c5ad2fd,8,,6,3
