game_id,round_id,agent_id,target_agent,trust_delta,timestamp
31f7583c-cba6-4eaf-9b46-c2060d8dc780,3,Agent_6,Agent_2,20,
c6c21f01-4cb1-4456-8ec1-f86b8e0ee41f,3,Agent_7,Agent_2,20,
4ad2deba-f735-4f4e-99b7-b8d8378366e8,3,Agent_7,Agent_2,20,
5baee512-0cf0-4ecc-9a57-04144003a7cf,3,Agent_7,Agent_2,20,
25f7c98a-d61a-4d2c-9f07-9c9af6f53316,3,Agent_7,Agent_2,20,
dc93a6a4-81ec-41a9-a8c2-b5c765d0690e,3,Agent_7,Agent_2,20,
8b136b89-bf67-44a2-9a4a-dd871a34e739,3,Agent_7,Agent_2,20,
db4b8369-2f34-4e8d-a8f1-a1574742e761,3,Agent_7,Agent_2,20,
31f7583c-cba6-4eaf-9b46-c2060d8dc780,3,Agent_7,Agent_2,20,
c6c21f01-4cb1-4456-8ec1-f86b8e0ee41f,3,Agent_8,Agent_2,20,
4ad2deba-f735-4f4e-99b7-b8d8378366e8,3,Agent_8,Agent_2,20,
5baee512-0cf0-4ecc-9a57-04144003a7cf,3,Agent_8,Agent_2,20,
25f7c98a-d61a-4d2c-9f07-9c9af6f53316,3,Agent_8,Agent_2,20,
dc93a6a4-81ec-41a9-a8c2-b5c765d0690e,3,Agent_8,Agent_2,20,
8b136b89-bf67-44a2-9a4a-dd871a34e739,3,Agent_8,Agent_2,20,
db4b8369-2f34-4e8d-a8f1-a1574742e761,3,Agent_8,Agent_2,20,
31f7583c-cba6-4eaf-9b46-c2060d8dc780,3,Agent_8,Agent_2,20,
65914cd2-14af-4918-8d60-ff4896a7b165,1,Agent_1,Agent_1,-20,
59060091-c97b-4189-abb5-44c602b2d9b1,1,Agent_1,Agent_1,-20,
d1af175c-b8f1-49be-b549-dc12d3babcfa,1,Agent_1,Agent_1,-20,
980fbd41-345e-4deb-8d74-af37b6607fbb,1,Agent_1,Agent_1,-20,
4dbe4051-a325-4ec5-ad33-fae78fa37249,1,Agent_1,Agent_1,-20,
920eefe3-6211-45c0-9469-02915f8ae35a,1,Agent_1,Agent_1,-20,
de8a1988-8eac-4650-a1da-69602e84eefa,1,Agent_1,Agent_1,-20,
92ab27b8-28c8-4159-b7fb-d0e7cfd78b16,1,Agent_1,Agent_1,-20,
65914cd2-14af-4918-8d60-ff4896a7b165,1,Agent_4,Agent_1,-20,
59060091-c97b-4189-abb5-44c602b2d9b1,1,Agent_4,Agent_1,-20,
d1af175c-b8f1-49be-b549-dc12d3babcfa,1,Agent_4,Agent_1,-20,
980fbd41-345e-4deb-8d74-af37b6607fbb,1,Agent_4,Agent_1,-20,
4dbe4051-a325-4ec5-ad33-fae78fa37249,1,Agent_4,Agent_1,-20,
920eefe3-6211-45c0-9469-02915f8ae35a,1,Agent_4,Agent_1,-20,
de8a1988-8eac-4650-a1da-69602e84eefa,1,Agent_4,Agent_1,-20,
92ab27b8-28c8-4159-b7fb-d0e7cfd78b16,1,Agent_4,Agent_1,-20,
65914cd2-14af-4918-8d60-ff4896a7b165,1,Agent_5,Agent_1,-20,
59060091-c97b-4189-abb5-44c602b2d9b1,1,Agent_5,Agent_1,-20,
d1af175c-b8f1-49be-b549-dc12d3babcfa,1,Agent_5,Agent_1,-20,
980fbd41-345e-4deb-8d74-af37b6607fbb,1,Agent_5,Agent_1,-20,
4dbe4051-a325-4ec5-ad33-fae78fa37249,1,Agent_5,Agent_1,-20,
920eefe3-6211-45c0-9469-02915f8ae35a,1,Agent_5,Agent_1,-20,
de8a1988-8eac-4650-a1da-69602e84eefa,1,Agent_5,Agent_1,-20,
92ab27b8-28c8-4159-b7fb-d0e7cfd78b16,1,Agent_5,Agent_1,-20,
65914cd2-14af-4918-8d60-ff4896a7b165,1,Agent_6,Agent_1,-20,
59060091-c97b-4189-abb5-44c602b2d9b1,1,Agent_6,Agent_1,-20,
d1af175c-b8f1-49be-b549-dc12d3babcfa,1,Agent_6,Agent_1,-20,
980fbd41-345e-4deb-8d74-af37b6607fbb,1,Agent_6,Agent_1,-20,
4dbe4051-a325-4ec5-ad33-fae78fa37249,1,Agent_6,Agent_1,-20,
